"","rgn_id","area_km2","SID"
"995",6,5371,16466100
"996",7,3398,16466100
"997",8,2675,16466100
"998",9,180,16466100
"999",10,4395,16466100
"1000",11,1119,16466100
"1001",1,52553,16466377
"1002",2,16186,16466377
"1003",3,19725,16466377
"1004",4,16485,16466377
"1005",6,11,16466377
"1006",7,10,16466377
"1007",1,186,16467178
"1008",4,20987,16467178
"1009",10,1562,16467178
"1010",1,10,16501868
"1011",4,9364,16501868
"1012",1,255,16502093
"1013",2,47646,16502093
"1014",3,47401,16502093
"1015",4,38212,16502093
"1016",5,1453,16502093
"1017",6,5174,16502093
"1018",7,3398,16502093
"1019",8,2675,16502093
"1020",9,180,16502093
"1021",10,4395,16502093
"1022",11,1119,16502093
"1023",1,249,16506725
"1024",2,47647,16506725
"1025",3,51016,16506725
"1026",4,38208,16506725
"1027",5,1453,16506725
"1028",6,6675,16506725
"1029",7,3398,16506725
"1030",8,2675,16506725
"1031",9,180,16506725
"1032",10,4395,16506725
"1033",11,1119,16506725
"1034",1,249,16506931
"1035",2,47647,16506931
"1036",3,50956,16506931
"1037",4,38207,16506931
"1038",5,1453,16506931
"1039",6,6673,16506931
"1040",7,3397,16506931
"1041",8,2675,16506931
"1042",9,180,16506931
"1043",10,4393,16506931
"1044",11,1119,16506931
"1045",1,249,16507307
"1046",2,47647,16507307
"1047",3,50956,16507307
"1048",4,38207,16507307
"1049",5,1453,16507307
"1050",6,6644,16507307
"1051",7,3397,16507307
"1052",8,2675,16507307
"1053",9,180,16507307
"1054",10,4393,16507307
"1055",11,1119,16507307
"1056",1,226,16507347
"1057",2,19320,16507347
"1058",3,8347,16507347
"1059",4,37545,16507347
"1060",5,1403,16507347
"1061",7,2051,16507347
"1062",8,2701,16507347
"1063",10,4340,16507347
"1064",11,1124,16507347
"1065",1,249,16507442
"1066",2,47647,16507442
"1067",3,50954,16507442
"1068",4,38207,16507442
"1069",5,1453,16507442
"1070",6,6613,16507442
"1071",7,3397,16507442
"1072",8,2675,16507442
"1073",9,180,16507442
"1074",10,4393,16507442
"1075",11,1119,16507442
"1076",1,204,16507646
"1077",2,15477,16507646
"1078",3,9761,16507646
"1079",4,38207,16507646
"1080",5,1453,16507646
"1081",6,56,16507646
"1082",7,3397,16507646
"1083",8,2675,16507646
"1084",9,165,16507646
