iucn_sid,sciname,population,category,common_name
15600738,Nannobrachium cuprarium,NA,LC,NA
190311,Nannobrachium lineatum,NA,LC,Lanternfish
190261,Notolychnus valdiviae,NA,LC,Topside Lampfish
198621,Notoscopelus bolini,NA,LC,Lanternfish
15601865,Notoscopelus caudispinosus,NA,LC,Lobisomem
15601872,Notoscopelus resplendens,NA,LC,Patchwork Lampfish
190477,Symbolophorus rufinus,NA,LC,Rufous lanternfish
190466,Symbolophorus veranyi,NA,LC,Large-scale Lantern Fish
190232,Taaningichthys bathyphilus,NA,LC,Deepwater Lanternfish
15601902,Taaningichthys minimus,NA,LC,Waistcoat lanternfish
198675,Cubiceps capensis,NA,LC,Cape Fathead
16439367,Cubiceps pauciradiatus,NA,LC,Bigeye Cigarfish
16545183,Nomeus gronovii,NA,LC,Man-of-war Fish
16545253,Psenes cyanophrys,NA,LC,Freckled Driftfish
16545256,Psenes pellucidus,NA,LC,Bluefin Driftfish
190356,Aldrovandia affinis,NA,LC,Allied Halosaur
190486,Aldrovandia gracilis,NA,LC,NA
195838,Aldrovandia phalacra,NA,LC,Hawaiian Halosaurid Fish
195840,Halosauropsis macrochir,NA,LC,Abyssal Halosaur
190196,Halosaurus guentheri,NA,LC,NA
195852,Notacanthus chemnitzii,NA,LC,Cosmopolitan Spineback
190403,Polyacanthonotus challengeri,NA,LC,Longnose Tapirfish
190489,Polyacanthonotus merretti,NA,LC,NA
60469175,Abyssobrotula galatheae,NA,LC,NA
190154,Bassozetus compressus,NA,LC,Abyssal Assfish
60469264,Bassozetus levistomatus,NA,LC,NA
60469273,Bassozetus normalis,NA,LC,Cusk Eel
57693936,Bathyonus laticeps,NA,DD,NA
154929,Benthocometes robustus,NA,LC,Robust Cusk-eel
60470322,Dicrolene introniger,NA,LC,Digitate cusk eel
60471877,Lamprogrammus brunswigi,NA,LC,NA
60471916,Lamprogrammus shcherbachevi,NA,DD,Scaleline cusk
16501868,Lepophidium brevibarbe,NA,LC,Shortbeard Cusk-Eel
16502093,Lepophidium profundorum,NA,LC,Fawn Cusk-Eel
190213,Ophidion marginatum,NA,LC,Striped Cusk-eel
60482312,Penopus microphthalmus,NA,LC,NA
60482748,Porogadus miles,NA,LC,Slender Cuskeel
18139045,Spectrunculus grandis,NA,LC,Pudgy Cuskeel
